t [s]	U''g [cm/s2] 	X'' [cm/s2] 	X' [cm/s]	X [cm]
0.000000	-4.258521	4.258521	0.000000	0.000000
0.002000	-8.517042	8.498996	0.012758	0.000013
0.004000	-12.775563	12.723467	0.033980	0.000059
0.006000	-17.034084	16.929311	0.063633	0.000157
0.008000	-21.292605	21.113921	0.101676	0.000322
0.010000	-25.551126	25.274711	0.148065	0.000572
0.012000	-29.809647	29.409116	0.202748	0.000923
0.014000	-34.068168	33.514595	0.265672	0.001391
0.016000	-38.326689	37.588630	0.336775	0.001994
0.018000	-42.585210	41.628731	0.415993	0.002747
0.020000	-40.464288	39.262003	0.496883	0.003659
0.022000	-38.343366	36.876450	0.573022	0.004729
0.024000	-36.222444	34.473624	0.644372	0.005947
0.026000	-34.101522	32.055084	0.710901	0.007302
0.028000	-31.980600	29.622394	0.772578	0.008786
0.030000	-29.859678	27.177125	0.829378	0.010387
0.032000	-27.738756	24.720850	0.881276	0.012098
0.034000	-25.617834	22.255147	0.928252	0.013908
0.036000	-23.496912	19.781595	0.970288	0.015806
0.038000	-21.375990	17.301773	1.007372	0.017784
0.040000	-20.852136	16.412073	1.041086	0.019832
0.042000	-20.328282	15.514255	1.073012	0.021946
0.044000	-19.804428	14.608903	1.103135	0.024123
0.046000	-19.280574	13.696610	1.131441	0.026357
0.048000	-18.756720	12.777966	1.157915	0.028647
0.050000	-18.232866	11.853568	1.182547	0.030987
0.052000	-17.709012	10.924014	1.205324	0.033375
0.054000	-17.185158	9.989901	1.226238	0.035806
0.056000	-16.661304	9.051832	1.245280	0.038278
0.058000	-16.137450	8.110408	1.262442	0.040786
0.060000	-13.700646	5.255983	1.275809	0.043324
0.062000	-11.263842	2.405406	1.283470	0.045883
0.064000	-8.827038	-0.439534	1.285436	0.048452
0.066000	-6.390234	-3.277056	1.281719	0.051019
0.068000	-3.953430	-6.105390	1.272337	0.053573
0.070000	-1.516626	-8.922775	1.257309	0.056103
0.072000	0.920178	-11.727460	1.236658	0.058597
0.074000	3.356982	-14.517710	1.210413	0.061044
0.076000	5.793786	-17.291799	1.178604	0.063433
0.078000	8.230590	-20.048019	1.141264	0.065753
0.080000	8.668116	-20.788223	1.100428	0.067995
0.082000	9.105642	-21.513456	1.058126	0.070153
0.084000	9.543168	-22.223299	1.014389	0.072226
0.086000	9.980694	-22.917344	0.969249	0.074209
0.088000	10.418220	-23.595190	0.922736	0.076101
0.090000	10.855746	-24.256453	0.874884	0.077899
0.092000	11.293272	-24.900756	0.825727	0.079599
0.094000	11.730798	-25.527736	0.775299	0.081200
0.096000	12.168324	-26.137040	0.723634	0.082699
0.098000	12.605850	-26.728329	0.670769	0.084094
0.100000	11.118654	-25.379271	0.618661	0.085383
0.102000	9.631458	-24.017590	0.569264	0.086571
0.104000	8.144262	-22.644178	0.522602	0.087663
0.106000	6.657066	-21.259930	0.478698	0.088664
0.108000	5.169870	-19.865745	0.437573	0.089581
0.110000	3.682674	-18.462529	0.399244	0.090417
0.112000	2.195478	-17.051190	0.363731	0.091180
0.114000	0.708282	-15.632637	0.331047	0.091875
0.116000	-0.778914	-14.207784	0.301206	0.092507
0.118000	-2.266110	-12.777545	0.274221	0.093083
0.120000	-1.190934	-13.901588	0.247542	0.093605
0.122000	-0.115758	-15.014042	0.218626	0.094071
0.124000	0.959418	-16.114234	0.187498	0.094477
0.126000	2.034594	-17.201500	0.154182	0.094819
0.128000	3.109770	-18.275187	0.118706	0.095091
0.130000	4.184946	-19.334653	0.081096	0.095291
0.132000	5.260122	-20.379264	0.041382	0.095414
0.134000	6.335298	-21.408398	-0.000406	0.095455
0.136000	7.410474	-22.421447	-0.044236	0.095410
0.138000	8.485650	-23.417810	-0.090075	0.095276
0.140000	9.478422	-24.314614	-0.137807	0.095048
0.142000	10.471194	-25.193830	-0.187316	0.094723
0.144000	11.463966	-26.054949	-0.238565	0.094297
0.146000	12.456738	-26.897472	-0.291517	0.093767
0.148000	13.449510	-27.720914	-0.346135	0.093129
0.150000	14.442282	-28.524805	-0.402381	0.092381
0.152000	15.435054	-29.308685	-0.460215	0.091518
0.154000	16.427826	-30.072112	-0.519595	0.090538
0.156000	17.420598	-30.814654	-0.580482	0.089438
0.158000	18.413370	-31.535896	-0.642833	0.088215
0.160000	16.850637	-29.683541	-0.704052	0.086868
0.162000	15.287904	-27.817111	-0.761553	0.085402
0.164000	13.725171	-25.937820	-0.815308	0.083826
0.166000	12.162438	-24.046885	-0.865292	0.082145
0.168000	10.599705	-22.145527	-0.911485	0.080368
0.170000	9.036972	-20.234973	-0.953865	0.078503
0.172000	7.474239	-18.316450	-0.992417	0.076557
0.174000	5.911506	-16.391189	-1.027124	0.074537
0.176000	4.348773	-14.460421	-1.057976	0.072452
0.178000	2.786040	-12.525377	-1.084962	0.070309
0.180000	1.338084	-10.701905	-1.108189	0.068116
0.182000	-0.109872	-8.876258	-1.127767	0.065880
0.184000	-1.557828	-7.049594	-1.143693	0.063608
0.186000	-3.005784	-5.223068	-1.155966	0.061309
0.188000	-4.453740	-3.397832	-1.164587	0.058988
0.190000	-5.901696	-1.575033	-1.169560	0.056654
0.192000	-7.349652	0.244184	-1.170890	0.054314
0.194000	-8.797608	2.058682	-1.168588	0.051974
0.196000	-10.245564	3.867327	-1.162662	0.049643
0.198000	-11.693520	5.668994	-1.153125	0.047327
0.200000	-10.171989	4.497271	-1.142959	0.045031
0.202000	-8.650458	3.325651	-1.135136	0.042753
0.204000	-7.128927	2.154875	-1.129656	0.040488
0.206000	-5.607396	0.985677	-1.126515	0.038232
0.208000	-4.085865	-0.181207	-1.125710	0.035980
0.210000	-2.564334	-1.345049	-1.127237	0.033727
0.212000	-1.042803	-2.505122	-1.131087	0.031468
0.214000	0.478728	-3.660703	-1.137253	0.029200
0.216000	2.000259	-4.811074	-1.145725	0.026917
0.218000	3.521790	-5.955524	-1.156491	0.024615
0.220000	5.369013	-7.418578	-1.169865	0.022289
0.222000	7.216236	-8.873279	-1.186157	0.019932
0.224000	9.063459	-10.318734	-1.205349	0.017541
0.226000	10.910682	-11.754051	-1.227422	0.015108
0.228000	12.757905	-13.178353	-1.252354	0.012628
0.230000	14.605128	-14.590767	-1.280123	0.010096
0.232000	16.452351	-15.990434	-1.310705	0.007505
0.234000	18.299574	-17.376501	-1.344072	0.004850
0.236000	20.146797	-18.748129	-1.380196	0.002126
0.238000	21.994020	-20.104490	-1.419049	-0.000673
0.240000	21.036564	-18.644047	-1.457797	-0.003550
0.242000	20.079108	-17.175511	-1.493617	-0.006501
0.244000	19.121652	-15.699826	-1.526492	-0.009522
0.246000	18.164196	-14.217942	-1.556410	-0.012604
0.248000	17.206740	-12.730808	-1.583359	-0.015744
0.250000	16.249284	-11.239377	-1.607329	-0.018935
0.252000	15.291828	-9.744600	-1.628313	-0.022171
0.254000	14.334372	-8.247428	-1.646305	-0.025445
0.256000	13.376916	-6.748811	-1.661301	-0.028753
0.258000	12.419460	-5.249698	-1.673300	-0.032087
0.260000	11.853423	-4.141902	-1.682691	-0.035443
0.262000	11.287386	-3.034274	-1.689867	-0.038816
0.264000	10.721349	-1.927512	-1.694829	-0.042201
0.266000	10.155312	-0.822312	-1.697579	-0.045593
0.268000	9.589275	0.280633	-1.698121	-0.048989
0.270000	9.023238	1.380633	-1.696459	-0.052383
0.272000	8.457201	2.477002	-1.692602	-0.055772
0.274000	7.891164	3.569056	-1.686556	-0.059152
0.276000	7.325127	4.656119	-1.678331	-0.062516
0.278000	6.759090	5.737516	-1.667937	-0.065863
0.280000	5.495562	7.509086	-1.654690	-0.069185
0.282000	4.232034	9.271474	-1.637910	-0.072478
0.284000	2.968506	11.023590	-1.617615	-0.075733
0.286000	1.704978	12.764356	-1.593827	-0.078945
0.288000	0.441450	14.492701	-1.566570	-0.082105
0.290000	-0.822078	16.207568	-1.535869	-0.085208
0.292000	-2.085606	17.907907	-1.501754	-0.088245
0.294000	-3.349134	19.592684	-1.464253	-0.091211
0.296000	-4.612662	21.260873	-1.423400	-0.094099
0.298000	-5.876190	22.911466	-1.379228	-0.096902
0.300000	-6.410835	23.815611	-1.332500	-0.099613
0.302000	-6.945480	24.702465	-1.283982	-0.102230
0.304000	-7.480125	25.571511	-1.233708	-0.104748
0.306000	-8.014770	26.422247	-1.181715	-0.107163
0.308000	-8.549415	27.254182	-1.128038	-0.109473
0.310000	-9.084060	28.066838	-1.072717	-0.111673
0.312000	-9.618705	28.859751	-1.015791	-0.113762
0.314000	-10.153350	29.632470	-0.957298	-0.115735
0.316000	-10.687995	30.384559	-0.897281	-0.117590
0.318000	-11.222640	31.115595	-0.835781	-0.119323
0.320000	-9.943416	30.013863	-0.774652	-0.120933
0.322000	-8.664192	28.895964	-0.715742	-0.122424
0.324000	-7.384968	27.762644	-0.659083	-0.123798
0.326000	-6.105744	26.614657	-0.604706	-0.125062
0.328000	-4.826520	25.452764	-0.552639	-0.126219
0.330000	-3.547296	24.277732	-0.502908	-0.127275
0.332000	-2.268072	23.090336	-0.455540	-0.128233
0.334000	-0.988848	21.891355	-0.410558	-0.129100
0.336000	0.290376	20.681575	-0.367985	-0.129878
0.338000	1.569600	19.461786	-0.327842	-0.130574
0.340000	0.264870	20.813086	-0.287567	-0.131189
0.342000	-1.039860	22.147868	-0.244606	-0.131722
0.344000	-2.344590	23.465329	-0.198993	-0.132165
0.346000	-3.649320	24.764682	-0.150763	-0.132515
0.348000	-4.954050	26.045154	-0.099953	-0.132766
0.350000	-6.258780	27.305984	-0.046602	-0.132912
0.352000	-7.563510	28.546427	0.009250	-0.132949
0.354000	-8.868240	29.765749	0.067563	-0.132873
0.356000	-10.172970	30.963237	0.128292	-0.132677
0.358000	-11.477700	32.138189	0.191393	-0.132357
0.360000	-11.259918	31.769559	0.255301	-0.131910
0.362000	-11.042136	31.381815	0.318452	-0.131337
0.364000	-10.824354	30.975250	0.380809	-0.130637
0.366000	-10.606572	30.550167	0.442335	-0.129814
0.368000	-10.388790	30.106882	0.502992	-0.128869
0.370000	-10.171008	29.645718	0.562744	-0.127803
0.372000	-9.953226	29.167012	0.621557	-0.126619
0.374000	-9.735444	28.671111	0.679395	-0.125318
0.376000	-9.517662	28.158369	0.736225	-0.123902
0.378000	-9.299880	27.629153	0.792012	-0.122374
0.380000	-7.161300	25.165753	0.844807	-0.120737
0.382000	-5.022720	22.692661	0.892665	-0.119000
0.384000	-2.884140	20.211463	0.935570	-0.117172
0.386000	-0.745560	17.723743	0.973505	-0.115263
0.388000	1.393020	15.231088	1.006460	-0.113283
0.390000	3.531600	12.735081	1.034426	-0.111242
0.392000	5.670180	10.237305	1.057398	-0.109150
0.394000	7.808760	7.739341	1.075375	-0.107017
0.396000	9.947340	5.242764	1.088357	-0.104853
0.398000	12.085920	2.749147	1.096349	-0.102669
0.400000	11.204982	3.275306	1.102373	-0.100470
0.402000	10.324044	3.798079	1.109447	-0.098258
0.404000	9.443106	4.317144	1.117562	-0.096031
0.406000	8.562168	4.832183	1.126711	-0.093787
0.408000	7.681230	5.342881	1.136886	-0.091523
0.410000	6.800292	5.848928	1.148078	-0.089238
0.412000	5.919354	6.350016	1.160277	-0.086930
0.414000	5.038416	6.845840	1.173473	-0.084596
0.416000	4.157478	7.336103	1.187655	-0.082235
0.418000	3.276540	7.820507	1.202811	-0.079845
0.420000	4.041720	6.654970	1.217287	-0.077424
0.422000	4.806900	5.488160	1.229430	-0.074978
0.424000	5.572080	4.320817	1.239239	-0.072509
0.426000	6.337260	3.153679	1.246713	-0.070023
0.428000	7.102440	1.987480	1.251855	-0.067525
0.430000	7.867620	0.822955	1.254665	-0.065018
0.432000	8.632800	-0.339167	1.255149	-0.062508
0.434000	9.397980	-1.498159	1.253312	-0.060000
0.436000	10.163160	-2.653296	1.249160	-0.057497
0.438000	10.928340	-3.803861	1.242703	-0.055005
0.440000	12.547971	-5.802383	1.233097	-0.052530
0.442000	14.167602	-7.792230	1.219502	-0.050077
0.444000	15.787233	-9.772167	1.201938	-0.047656
0.446000	17.406864	-11.740971	1.180425	-0.045273
0.448000	19.026495	-13.697429	1.154986	-0.042938
0.450000	20.646126	-15.640336	1.125648	-0.040657
0.452000	22.265757	-17.568502	1.092440	-0.038439
0.454000	23.885388	-19.480747	1.055390	-0.036291
0.456000	25.505019	-21.375906	1.014534	-0.034221
0.458000	27.124650	-23.252824	0.969905	-0.032237
0.460000	24.243453	-20.615895	0.926036	-0.030341
0.462000	21.362256	-17.972581	0.887448	-0.028527
0.464000	18.481059	-15.324563	0.854151	-0.026786
0.466000	15.599862	-12.673526	0.826152	-0.025106
0.468000	12.718665	-10.021148	0.803458	-0.023476
0.470000	9.837468	-7.369105	0.786068	-0.021886
0.472000	6.956271	-4.719070	0.773979	-0.020326
0.474000	4.075074	-2.072710	0.767188	-0.018785
0.476000	1.193877	0.568316	0.765683	-0.017252
0.478000	-1.687320	3.202356	0.769454	-0.015717
0.480000	-3.288312	4.549368	0.777206	-0.014171
0.482000	-4.889304	5.890130	0.787645	-0.012606
0.484000	-6.490296	7.223812	0.800759	-0.011017
0.486000	-8.091288	8.549590	0.816532	-0.009400
0.488000	-9.692280	9.866648	0.834949	-0.007749
0.490000	-11.293272	11.174177	0.855990	-0.006058
0.492000	-12.894264	12.471376	0.879635	-0.004322
0.494000	-14.495256	13.757454	0.905864	-0.002536
0.496000	-16.096248	15.031625	0.934653	-0.000696
0.498000	-17.697240	16.293118	0.965978	0.001205
0.500000	-16.448427	14.695388	0.996966	0.003168
0.502000	-15.199614	13.092399	1.024754	0.005189
0.504000	-13.950801	11.485174	1.049332	0.007263
0.506000	-12.701988	9.874739	1.070691	0.009383
0.508000	-11.453175	8.262117	1.088828	0.011543
0.510000	-10.204362	6.648330	1.103739	0.013736
0.512000	-8.955549	5.034400	1.115422	0.015955
0.514000	-7.706736	3.421346	1.123877	0.018194
0.516000	-6.457923	1.810181	1.129109	0.020447
0.518000	-5.209110	0.201919	1.131121	0.022707
0.520000	-5.594643	0.229602	1.131552	0.024970
0.522000	-5.980176	0.257072	1.132039	0.027234
0.524000	-6.365709	0.284310	1.132580	0.029498
0.526000	-6.751242	0.311301	1.133176	0.031764
0.528000	-7.136775	0.338027	1.133825	0.034031
0.530000	-7.522308	0.364473	1.134528	0.036299
0.532000	-7.907841	0.390623	1.135283	0.038569
0.534000	-8.293374	0.416461	1.136090	0.040840
0.536000	-8.678907	0.441972	1.136949	0.043113
0.538000	-9.064440	0.467139	1.137858	0.045388
0.540000	-9.877689	0.919061	1.139244	0.047665
0.542000	-10.690938	1.369269	1.141532	0.049946
0.544000	-11.504187	1.817483	1.144719	0.052232
0.546000	-12.317436	2.263425	1.148800	0.054526
0.548000	-13.130685	2.706821	1.153770	0.056828
0.550000	-13.943934	3.147397	1.159624	0.059142
0.552000	-14.757183	3.584882	1.166357	0.061468
0.554000	-15.570432	4.019008	1.173960	0.063808
0.556000	-16.383681	4.449509	1.182429	0.066165
0.558000	-17.196930	4.876123	1.191755	0.068539
0.560000	-16.135488	3.426547	1.200057	0.070931
0.562000	-15.074046	1.978449	1.205462	0.073336
0.564000	-14.012604	0.532737	1.207973	0.075750
0.566000	-12.951162	-0.909683	1.207597	0.078165
0.568000	-11.889720	-2.347909	1.204339	0.080577
0.570000	-10.828278	-3.781045	1.198210	0.082980
0.572000	-9.766836	-5.208198	1.189221	0.085367
0.574000	-8.705394	-6.628485	1.177384	0.087734
0.576000	-7.643952	-8.041026	1.162715	0.090074
0.578000	-6.582510	-9.444951	1.145229	0.092382
0.580000	-4.906962	-11.452632	1.124331	0.094651
0.582000	-3.231414	-13.448052	1.099430	0.096875
0.584000	-1.555866	-15.429980	1.070552	0.099045
0.586000	0.119682	-17.397202	1.037725	0.101153
0.588000	1.795230	-19.348514	1.000979	0.103192
0.590000	3.470778	-21.282723	0.960348	0.105153
0.592000	5.146326	-23.198654	0.915867	0.107029
0.594000	6.821874	-25.095144	0.867573	0.108813
0.596000	8.497422	-26.971045	0.815507	0.110496
0.598000	10.172970	-28.825226	0.759710	0.112071
0.600000	9.882594	-28.693424	0.702192	0.113533
0.602000	9.592218	-28.543854	0.644955	0.114880
0.604000	9.301842	-28.376656	0.588034	0.116113
0.606000	9.011466	-28.191978	0.531465	0.117233
0.608000	8.721090	-27.989981	0.475283	0.118239
0.610000	8.430714	-27.770836	0.419523	0.119134
0.612000	8.140338	-27.534724	0.364217	0.119918
0.614000	7.849962	-27.281837	0.309401	0.120592
0.616000	7.559586	-27.012376	0.255106	0.121156
0.618000	7.269210	-26.726553	0.201367	0.121613
0.620000	7.010226	-26.455937	0.148185	0.121962
0.622000	6.751242	-26.169313	0.095560	0.122206
0.624000	6.492258	-25.866901	0.043523	0.122345
0.626000	6.233274	-25.548933	-0.007892	0.122381
0.628000	5.974290	-25.215647	-0.058657	0.122314
0.630000	5.715306	-24.867293	-0.108740	0.122147
0.632000	5.456322	-24.504128	-0.158111	0.121880
0.634000	5.197338	-24.126417	-0.206742	0.121515
0.636000	4.938354	-23.734437	-0.254603	0.121054
0.638000	4.679370	-23.328470	-0.301666	0.120497
0.640000	6.736527	-25.221676	-0.350216	0.119846
0.642000	8.793684	-27.094221	-0.402532	0.119093
0.644000	10.850841	-28.944978	-0.458571	0.118232
0.646000	12.907998	-30.772832	-0.518289	0.117255
0.648000	14.965155	-32.576688	-0.581638	0.116155
0.650000	17.022312	-34.355468	-0.648570	0.114925
0.652000	19.079469	-36.108115	-0.719034	0.113557
0.654000	21.136626	-37.833587	-0.792976	0.112045
0.656000	23.193783	-39.530865	-0.870340	0.110382
0.658000	25.250940	-41.198948	-0.951070	0.108560
0.660000	24.672150	-40.204635	-1.032474	0.106577
0.662000	24.093360	-39.187457	-1.111866	0.104432
0.664000	23.514570	-38.148115	-1.189201	0.102131
0.666000	22.935780	-37.087318	-1.264437	0.099678
0.668000	22.356990	-36.005790	-1.337530	0.097076
0.670000	21.778200	-34.904266	-1.408440	0.094330
0.672000	21.199410	-33.783490	-1.477128	0.091444
0.674000	20.620620	-32.644217	-1.543555	0.088424
0.676000	20.041830	-31.487213	-1.607687	0.085272
0.678000	19.463040	-30.313252	-1.669487	0.081995
0.680000	17.042913	-27.284380	-1.727085	0.078599
0.682000	14.622786	-24.245901	-1.778615	0.075093
0.684000	12.202659	-21.199753	-1.824061	0.071490
0.686000	9.782532	-18.147879	-1.863408	0.067803
0.688000	7.362405	-15.092217	-1.896648	0.064043
0.690000	4.942278	-12.034704	-1.923775	0.060222
0.692000	2.522151	-8.977273	-1.944787	0.056354
0.694000	0.102024	-5.921854	-1.959686	0.052449
0.696000	-2.318103	-2.870367	-1.968479	0.048521
0.698000	-4.738230	0.175271	-1.971174	0.044581
0.700000	-4.844178	0.902246	-1.970096	0.040640
0.702000	-4.950126	1.626827	-1.967567	0.036702
0.704000	-5.056074	2.348563	-1.963592	0.032771
0.706000	-5.162022	3.067006	-1.958176	0.028850
0.708000	-5.267970	3.781712	-1.951328	0.024940
0.710000	-5.373918	4.492238	-1.943054	0.021046
0.712000	-5.479866	5.198148	-1.933363	0.017169
0.714000	-5.585814	5.899008	-1.922266	0.013314
0.716000	-5.691762	6.594387	-1.909773	0.009482
0.718000	-5.797710	7.283862	-1.895894	0.005676
0.720000	-4.801014	6.865926	-1.881745	0.001898
0.722000	-3.804318	6.444708	-1.868434	-0.001852
0.724000	-2.807622	6.020482	-1.855969	-0.005576
0.726000	-1.810926	5.593523	-1.844355	-0.009277
0.728000	-0.814230	5.164107	-1.833597	-0.012955
0.730000	0.182466	4.732512	-1.823701	-0.016612
0.732000	1.179162	4.299015	-1.814669	-0.020250
0.734000	2.175858	3.863894	-1.806506	-0.023871
0.736000	3.172554	3.427428	-1.799215	-0.027477
0.738000	4.169250	2.989896	-1.792797	-0.031069
0.740000	5.792805	1.925602	-1.787882	-0.034650
0.742000	7.416360	0.862765	-1.785094	-0.038223
0.744000	9.039915	-0.197949	-1.784429	-0.041792
0.746000	10.663470	-1.255876	-1.785883	-0.045363
0.748000	12.287025	-2.310356	-1.789449	-0.048938
0.750000	13.910580	-3.360732	-1.795120	-0.052523
0.752000	15.534135	-4.406352	-1.802887	-0.056121
0.754000	17.157690	-5.446569	-1.812740	-0.059736
0.756000	18.781245	-6.480739	-1.824667	-0.063374
0.758000	20.404800	-7.508226	-1.838656	-0.067037
0.760000	21.470166	-7.970998	-1.854135	-0.070730
0.762000	22.535532	-8.427581	-1.870534	-0.074454
0.764000	23.600898	-8.877702	-1.887839	-0.078213
0.766000	24.666264	-9.321094	-1.906038	-0.082007
0.768000	25.731630	-9.757493	-1.925117	-0.085838
0.770000	26.796996	-10.186643	-1.945061	-0.089708
0.772000	27.862362	-10.608290	-1.965856	-0.093619
0.774000	28.927728	-11.022188	-1.987486	-0.097572
0.776000	29.993094	-11.428094	-2.009936	-0.101570
0.778000	31.058460	-11.825773	-2.033190	-0.105613
0.780000	27.915336	-8.012450	-2.053029	-0.109699
0.782000	24.772212	-4.203643	-2.065245	-0.113817
0.784000	21.629088	-0.401744	-2.069850	-0.117952
0.786000	18.485964	3.390867	-2.066861	-0.122089
0.788000	15.342840	7.171821	-2.056298	-0.126212
0.790000	12.199716	10.938762	-2.038188	-0.130307
0.792000	9.056592	14.689349	-2.012560	-0.134357
0.794000	5.913468	18.421257	-1.979449	-0.138349
0.796000	2.770344	22.132181	-1.938895	-0.142268
0.798000	-0.372780	25.819830	-1.890943	-0.146098
0.800000	-3.504132	29.470183	-1.835653	-0.149824
0.802000	-6.635484	33.092786	-1.773090	-0.153433
0.804000	-9.766836	36.685424	-1.703312	-0.156909
0.806000	-12.898188	40.245905	-1.626381	-0.160239
0.808000	-16.029540	43.772065	-1.542363	-0.163408
0.810000	-19.160892	47.261766	-1.451329	-0.166402
0.812000	-22.292244	50.712897	-1.353354	-0.169206
0.814000	-25.423596	54.123379	-1.248518	-0.171808
0.816000	-28.554948	57.491163	-1.136904	-0.174194
0.818000	-31.686300	60.814231	-1.018598	-0.176349
0.820000	-31.014315	60.292636	-0.897491	-0.178265
0.822000	-30.342330	59.734319	-0.777464	-0.179940
0.824000	-29.670345	59.139725	-0.658590	-0.181376
0.826000	-28.998360	58.509320	-0.540941	-0.182576
0.828000	-28.326375	57.843592	-0.424588	-0.183541
0.830000	-27.654390	57.143049	-0.309602	-0.184275
0.832000	-26.982405	56.408221	-0.196051	-0.184781
0.834000	-26.310420	55.639657	-0.084003	-0.185061
0.836000	-25.638435	54.837926	0.026475	-0.185119
0.838000	-24.966450	54.003618	0.135316	-0.184957
0.840000	-24.099246	52.942396	0.242262	-0.184579
0.842000	-23.232042	51.850444	0.347055	-0.183990
0.844000	-22.364838	50.728528	0.449634	-0.183193
0.846000	-21.497634	49.577429	0.549940	-0.182194
0.848000	-20.630430	48.397948	0.647916	-0.180996
0.850000	-19.763226	47.190899	0.743504	-0.179604
0.852000	-18.896022	45.957113	0.836652	-0.178024
0.854000	-18.028818	44.697436	0.927307	-0.176260
0.856000	-17.161614	43.412727	1.015417	-0.174318
0.858000	-16.294410	42.103859	1.100934	-0.172201
0.860000	-16.973262	42.315590	1.185353	-0.169915
0.862000	-17.652114	42.500099	1.270169	-0.167459
0.864000	-18.330966	42.657338	1.355326	-0.164834
0.866000	-19.009818	42.787275	1.440771	-0.162038
0.868000	-19.688670	42.889897	1.526448	-0.159071
0.870000	-20.367522	42.965209	1.612303	-0.155932
0.872000	-21.046374	43.013230	1.698282	-0.152621
0.874000	-21.725226	43.034001	1.784329	-0.149139
0.876000	-22.404078	43.027574	1.870390	-0.145484
0.878000	-23.082930	42.994024	1.956412	-0.141657
0.880000	-22.938723	42.111542	2.041518	-0.137659
0.882000	-22.794516	41.204713	2.124834	-0.133493
0.884000	-22.650309	40.274169	2.206313	-0.129162
0.886000	-22.506102	39.320558	2.285908	-0.124669
0.888000	-22.361895	38.344537	2.363573	-0.120020
0.890000	-22.217688	37.346780	2.439264	-0.115217
0.892000	-22.073481	36.327970	2.512939	-0.110265
0.894000	-21.929274	35.288803	2.584555	-0.105167
0.896000	-21.785067	34.229985	2.654074	-0.099929
0.898000	-21.640860	33.152233	2.721456	-0.094553
0.900000	-19.883889	30.445789	2.785054	-0.089047
0.902000	-18.126918	27.726934	2.843227	-0.083418
0.904000	-16.369947	24.997413	2.895952	-0.077679
0.906000	-14.612976	22.258974	2.943208	-0.071840
0.908000	-12.856005	19.513369	2.984980	-0.065912
0.910000	-11.099034	16.762345	3.021256	-0.059906
0.912000	-9.342063	14.007653	3.052026	-0.053832
0.914000	-7.585092	11.251039	3.077285	-0.047703
0.916000	-5.828121	8.494247	3.097030	-0.041529
0.918000	-4.071150	5.739016	3.111263	-0.035321
0.920000	-4.428234	5.098148	3.122100	-0.029087
0.922000	-4.785318	4.455673	3.131654	-0.022833
0.924000	-5.142402	3.812000	3.139922	-0.016562
0.926000	-5.499486	3.167538	3.146901	-0.010275
0.928000	-5.856570	2.522695	3.152592	-0.003976
0.930000	-6.213654	1.877880	3.156992	0.002334
0.932000	-6.570738	1.233498	3.160104	0.008651
0.934000	-6.927822	0.589956	3.161927	0.014973
0.936000	-7.284906	-0.052344	3.162465	0.021298
0.938000	-7.641990	-0.692998	3.161719	0.027622
0.940000	-7.188768	-2.140769	3.158886	0.033942
0.942000	-6.735546	-3.583556	3.153161	0.040254
0.944000	-6.282324	-5.020462	3.144557	0.046552
0.946000	-5.829102	-6.450595	3.133086	0.052830
0.948000	-5.375880	-7.873070	3.118763	0.059082
0.950000	-4.922658	-9.287008	3.101602	0.065302
0.952000	-4.469436	-10.691540	3.081624	0.071485
0.954000	-4.016214	-12.085804	3.058847	0.077626
0.956000	-3.562992	-13.468945	3.033292	0.083718
0.958000	-3.109770	-14.840119	3.004983	0.089756
0.960000	-3.311856	-15.544108	2.974599	0.095736
0.962000	-3.513942	-16.236526	2.942818	0.101653
0.964000	-3.716028	-16.916966	2.909664	0.107506
0.966000	-3.918114	-17.585026	2.875162	0.113290
0.968000	-4.120200	-18.240318	2.839337	0.119005
0.970000	-4.322286	-18.882461	2.802214	0.124646
0.972000	-4.524372	-19.511081	2.763821	0.130212
0.974000	-4.726458	-20.125817	2.724184	0.135701
0.976000	-4.928544	-20.726315	2.683332	0.141108
0.978000	-5.130630	-21.312233	2.641293	0.146433
0.980000	-6.828741	-20.389325	2.599592	0.151674
0.982000	-8.526852	-19.455873	2.559746	0.156833
0.984000	-10.224963	-18.512492	2.521778	0.161914
0.986000	-11.923074	-17.559802	2.485706	0.166922
0.988000	-13.621185	-16.598426	2.451547	0.171859
0.990000	-15.319296	-15.628993	2.419320	0.176730
0.992000	-17.017407	-14.652135	2.389039	0.181538
0.994000	-18.715518	-13.668487	2.360718	0.186288
0.996000	-20.413629	-12.678686	2.334371	0.190983
0.998000	-22.111740	-11.683372	2.310009	0.195628
1.000000	-19.715157	-14.772097	2.283554	0.200221
1.002000	-17.318574	-17.843751	2.250938	0.204756
1.004000	-14.921991	-20.896442	2.212198	0.209219
1.006000	-12.525408	-23.928291	2.167373	0.213598
1.008000	-10.128825	-26.937437	2.116507	0.217882
1.010000	-7.732242	-29.922040	2.059648	0.222058
1.012000	-5.335659	-32.880279	1.996845	0.226115
1.014000	-2.939076	-35.810354	1.928155	0.230040
1.016000	-0.542493	-38.710488	1.853634	0.233822
1.018000	1.854090	-41.578926	1.773344	0.237449
1.020000	3.863178	-44.026990	1.687739	0.240910
1.022000	5.872266	-46.441141	1.597270	0.244195
1.024000	7.881354	-48.819939	1.502009	0.247294
1.026000	9.890442	-51.161973	1.402027	0.250198
1.028000	11.899530	-53.465858	1.297400	0.252897
1.030000	13.908618	-55.730237	1.188203	0.255383
1.032000	15.917706	-57.953780	1.074519	0.257646
1.034000	17.926794	-60.135188	0.956430	0.259677
